Date,Close
1/3/2022 16:00:00,170.4
1/4/2022 16:00:00,167.52
1/5/2022 16:00:00,164.36
1/6/2022 16:00:00,163.25
1/7/2022 16:00:00,162.55
1/10/2022 16:00:00,161.49
1/11/2022 16:00:00,165.36
1/12/2022 16:00:00,165.21
1/13/2022 16:00:00,161.21
1/14/2022 16:00:00,162.14
1/18/2022 16:00:00,158.92
1/19/2022 16:00:00,156.3
1/20/2022 16:00:00,151.67
1/21/2022 16:00:00,142.64
1/24/2022 16:00:00,144.54
1/25/2022 16:00:00,139.99
1/26/2022 16:00:00,138.87
1/27/2022 16:00:00,139.64
1/28/2022 16:00:00,143.98
1/31/2022 16:00:00,149.57
2/1/2022 16:00:00,151.19
2/2/2022 16:00:00,150.61
2/3/2022 16:00:00,138.85
2/4/2022 16:00:00,157.64
2/7/2022 16:00:00,157.94
2/8/2022 16:00:00,161.41
2/9/2022 16:00:00,161.19
2/10/2022 16:00:00,159
2/11/2022 16:00:00,153.29
2/14/2022 16:00:00,155.17
2/15/2022 16:00:00,156.51
2/16/2022 16:00:00,158.1
2/17/2022 16:00:00,154.65
2/18/2022 16:00:00,152.6
2/22/2022 16:00:00,150.2
2/23/2022 16:00:00,144.83
2/24/2022 16:00:00,151.36
2/25/2022 16:00:00,153.79
2/28/2022 16:00:00,153.56
3/1/2022 16:00:00,151.14
3/2/2022 16:00:00,152.05
3/3/2022 16:00:00,147.9
3/4/2022 16:00:00,145.64
3/7/2022 16:00:00,137.45
3/8/2022 16:00:00,136.01
3/9/2022 16:00:00,139.28
3/10/2022 16:00:00,146.82
3/11/2022 16:00:00,145.52
3/14/2022 16:00:00,141.85
3/15/2022 16:00:00,147.37
3/16/2022 16:00:00,153.1
3/17/2022 16:00:00,157.24
3/18/2022 16:00:00,161.25
3/21/2022 16:00:00,161.49
3/22/2022 16:00:00,164.89
3/23/2022 16:00:00,163.41
3/24/2022 16:00:00,163.65
3/25/2022 16:00:00,164.77
3/28/2022 16:00:00,168.99
3/29/2022 16:00:00,169.32
3/30/2022 16:00:00,166.3
3/31/2022 16:00:00,163
4/1/2022 16:00:00,163.56
4/4/2022 16:00:00,168.35
4/5/2022 16:00:00,164.06
4/6/2022 16:00:00,158.76
4/7/2022 16:00:00,157.78
4/8/2022 16:00:00,154.46
4/11/2022 16:00:00,151.12
4/12/2022 16:00:00,150.79
4/13/2022 16:00:00,155.54
4/14/2022 16:00:00,151.71
4/18/2022 16:00:00,152.79
4/19/2022 16:00:00,158.12
4/20/2022 16:00:00,154
4/21/2022 16:00:00,148.3
4/22/2022 16:00:00,144.35
4/25/2022 16:00:00,146.07
4/26/2022 16:00:00,139.39
4/27/2022 16:00:00,138.17
4/28/2022 16:00:00,144.6
4/29/2022 16:00:00,124.28
5/2/2022 16:00:00,124.5
5/3/2022 16:00:00,124.25
5/4/2022 16:00:00,125.93
5/5/2022 16:00:00,116.41
5/6/2022 16:00:00,114.77
5/9/2022 16:00:00,108.79
5/10/2022 16:00:00,108.86
5/11/2022 16:00:00,105.37
5/12/2022 16:00:00,106.93
5/13/2022 16:00:00,113.06
5/16/2022 16:00:00,110.81
5/17/2022 16:00:00,115.37
5/18/2022 16:00:00,107.11
5/19/2022 16:00:00,107.32
5/20/2022 16:00:00,107.59
5/23/2022 16:00:00,107.56
5/24/2022 16:00:00,104.1
5/25/2022 16:00:00,106.78
5/26/2022 16:00:00,111.08
5/27/2022 16:00:00,115.15
5/31/2022 16:00:00,120.21
6/1/2022 16:00:00,121.68
6/2/2022 16:00:00,125.51
6/3/2022 16:00:00,122.35
6/6/2022 16:00:00,124.79
6/7/2022 16:00:00,123
6/8/2022 16:00:00,121.18
6/9/2022 16:00:00,116.15
6/10/2022 16:00:00,109.65
6/13/2022 16:00:00,103.67
6/14/2022 16:00:00,102.31
6/15/2022 16:00:00,107.67
6/16/2022 16:00:00,103.66
6/17/2022 16:00:00,106.22
6/21/2022 16:00:00,108.68
6/22/2022 16:00:00,108.95
6/23/2022 16:00:00,112.44
6/24/2022 16:00:00,116.46
6/27/2022 16:00:00,113.22
6/28/2022 16:00:00,107.4
6/29/2022 16:00:00,108.92
6/30/2022 16:00:00,106.21
7/1/2022 16:00:00,109.56
7/5/2022 16:00:00,113.5
7/6/2022 16:00:00,114.33
7/7/2022 16:00:00,116.33
7/8/2022 16:00:00,115.54
7/11/2022 16:00:00,111.75
7/12/2022 16:00:00,109.22
7/13/2022 16:00:00,110.4
7/14/2022 16:00:00,110.63
7/15/2022 16:00:00,113.55
7/18/2022 16:00:00,113.76
7/19/2022 16:00:00,118.21
7/20/2022 16:00:00,122.77
7/21/2022 16:00:00,124.63
7/22/2022 16:00:00,122.42
7/25/2022 16:00:00,121.14
7/26/2022 16:00:00,114.81
7/27/2022 16:00:00,120.97
7/28/2022 16:00:00,122.28
7/29/2022 16:00:00,134.95
8/1/2022 16:00:00,135.39
8/2/2022 16:00:00,134.16
8/3/2022 16:00:00,139.52
8/4/2022 16:00:00,142.57
8/5/2022 16:00:00,140.8
8/8/2022 16:00:00,139.41
8/9/2022 16:00:00,137.83
8/10/2022 16:00:00,142.69
8/11/2022 16:00:00,140.64
8/12/2022 16:00:00,143.55
8/15/2022 16:00:00,143.18
8/16/2022 16:00:00,144.78
8/17/2022 16:00:00,142.1
8/18/2022 16:00:00,142.3
8/19/2022 16:00:00,138.23
8/22/2022 16:00:00,133.22
8/23/2022 16:00:00,133.62
8/24/2022 16:00:00,133.8
8/25/2022 16:00:00,137.28
8/26/2022 16:00:00,130.75
8/29/2022 16:00:00,129.79
8/30/2022 16:00:00,128.73
8/31/2022 16:00:00,126.77
9/1/2022 16:00:00,127.82
9/2/2022 16:00:00,127.51
9/6/2022 16:00:00,126.11
9/7/2022 16:00:00,129.48
9/8/2022 16:00:00,129.82
9/9/2022 16:00:00,133.27
9/12/2022 16:00:00,136.45
9/13/2022 16:00:00,126.82
9/14/2022 16:00:00,128.55
9/15/2022 16:00:00,126.28
9/16/2022 16:00:00,123.53
9/19/2022 16:00:00,124.66
9/20/2022 16:00:00,122.19
9/21/2022 16:00:00,118.54
9/22/2022 16:00:00,117.31
9/23/2022 16:00:00,113.78
9/26/2022 16:00:00,115.15
9/27/2022 16:00:00,114.41
9/28/2022 16:00:00,118.01
9/29/2022 16:00:00,114.8
9/30/2022 16:00:00,113
10/3/2022 16:00:00,115.88
10/4/2022 16:00:00,121.09
10/5/2022 16:00:00,120.95
10/6/2022 16:00:00,120.3
10/7/2022 16:00:00,114.56
10/10/2022 16:00:00,113.67
10/11/2022 16:00:00,112.21
10/12/2022 16:00:00,112.9
10/13/2022 16:00:00,112.53
10/14/2022 16:00:00,106.9
10/17/2022 16:00:00,113.79
10/18/2022 16:00:00,116.36
10/19/2022 16:00:00,115.07
10/20/2022 16:00:00,115.25
10/21/2022 16:00:00,119.32
10/24/2022 16:00:00,119.82
10/25/2022 16:00:00,120.6
10/26/2022 16:00:00,115.66
10/27/2022 16:00:00,110.96
10/28/2022 16:00:00,103.41
10/31/2022 16:00:00,102.44
11/1/2022 16:00:00,96.79
11/2/2022 16:00:00,92.12
11/3/2022 16:00:00,89.3
11/4/2022 16:00:00,90.98
11/7/2022 16:00:00,90.53
11/8/2022 16:00:00,89.98
11/9/2022 16:00:00,86.14
11/10/2022 16:00:00,96.63
11/11/2022 16:00:00,100.79
11/14/2022 16:00:00,98.49
11/15/2022 16:00:00,98.94
11/16/2022 16:00:00,97.12
11/17/2022 16:00:00,94.85
11/18/2022 16:00:00,94.14
11/21/2022 16:00:00,92.46
11/22/2022 16:00:00,93.2
11/23/2022 16:00:00,94.13
11/25/2022 13:05:00,93.41
11/28/2022 16:00:00,93.95
11/29/2022 16:00:00,92.42
11/30/2022 16:00:00,96.54
12/1/2022 16:00:00,95.5
12/2/2022 16:00:00,94.13
12/5/2022 16:00:00,91.01
